mulai,selesai,durasi_jam,nilai_min,nilai_rata,jam_mulai
2021-02-16 05:45:00,2021-02-16 06:45:00,1.25,8.3,8.399999999999999,5
2021-02-16 17:00:00,2021-02-16 17:45:00,1.0,8.3,8.425,17
2021-02-17 03:45:00,2021-02-17 06:00:00,2.5,7.9,8.240000000000002,3
2021-03-02 01:45:00,2021-03-02 04:15:00,2.75,7.0,7.045454545454546,1
2021-03-02 05:45:00,2021-03-02 10:30:00,5.0,6.9,6.989999999999999,5
2021-03-02 12:15:00,2021-03-02 22:30:00,10.5,6.7,7.0476190476190474,12
2021-03-29 17:15:00,2021-03-29 18:00:00,1.0,6.0,6.0,17
2021-03-30 03:15:00,2021-03-30 08:30:00,5.5,5.8,5.913636363636365,3
2021-03-30 13:15:00,2021-03-30 21:00:00,8.0,5.9,5.99375,13
2021-03-31 03:15:00,2021-03-31 10:30:00,7.5,5.8,5.873333333333335,3
2021-05-06 00:15:00,2021-05-06 01:15:00,1.25,5.7,5.78,0
2021-05-06 12:15:00,2021-05-06 13:00:00,1.0,5.7,5.85,12
2021-05-07 00:45:00,2021-05-07 01:45:00,1.25,5.7,5.779999999999999,0
2021-05-27 23:00:00,2021-05-28 00:30:00,1.75,5.2,5.285714285714286,23
2021-05-28 11:00:00,2021-05-28 11:45:00,1.0,5.3,5.375,11
2021-05-28 23:30:00,2021-05-29 01:45:00,2.5,5.0,5.13,23
2021-05-30 01:00:00,2021-05-30 01:45:00,1.0,5.3,5.3,1
2021-09-24 03:45:00,2021-09-24 04:45:00,1.25,3.9,4.0600000000000005,3
2021-09-24 17:15:00,2021-09-24 18:00:00,1.0,4.3,4.3500000000000005,17
2022-01-02 03:15:00,2022-01-02 05:00:00,2.0,7.2,7.25,3
2022-01-02 16:30:00,2022-01-02 18:00:00,1.75,7.2,7.242857142857143,16
2022-01-03 01:00:00,2022-01-03 05:15:00,4.5,7.2,7.272222222222222,1
2022-03-11 20:15:00,2022-03-11 23:45:00,3.75,6.8,6.826666666666666,20
2022-03-24 19:45:00,2022-03-24 23:45:00,4.25,6.2,6.417647058823529,19
2022-03-25 06:45:00,2022-03-25 08:00:00,1.5,6.4,6.3999999999999995,6
2022-04-16 19:30:00,2022-04-16 20:45:00,1.5,5.4,5.449999999999999,19
2022-04-17 14:00:00,2022-04-17 15:15:00,1.5,5.4,5.466666666666666,14
2022-04-18 15:00:00,2022-04-18 16:15:00,1.5,5.4,5.3999999999999995,15
2022-06-07 10:00:00,2022-06-07 11:00:00,1.25,4.8,4.9,10
2022-06-07 22:15:00,2022-06-07 23:30:00,1.5,4.9,4.983333333333333,22
2022-06-29 09:15:00,2022-06-29 10:30:00,1.5,5.3,5.383333333333333,9
2022-06-29 22:15:00,2022-06-30 13:00:00,15.0,5.2,5.47,22
2022-06-30 16:45:00,2022-06-30 17:30:00,1.0,6.0,6.025,16
2022-07-17 15:00:00,2022-07-17 16:30:00,1.75,4.1,4.2,15
2022-11-12 06:15:00,2022-11-12 07:15:00,1.25,6.2,6.22,6
2022-11-12 18:30:00,2022-11-12 20:15:00,2.0,6.3,6.3625,18
2022-11-13 03:00:00,2022-11-13 08:15:00,5.5,5.9,6.127272727272728,3
2022-11-13 18:30:00,2022-11-13 20:45:00,2.5,6.5,6.57,18
2023-01-05 02:45:00,2023-01-05 03:45:00,1.25,9.3,9.3,2
2023-01-05 15:15:00,2023-01-05 16:30:00,1.5,9.0,9.049999999999999,15
2023-01-06 03:15:00,2023-01-06 04:45:00,1.75,8.8,8.799999999999999,3
2023-01-06 15:45:00,2023-01-06 18:00:00,2.5,8.7,8.78,15
2023-01-06 23:30:00,2023-01-07 07:45:00,8.5,8.3,8.688235294117646,23
2023-03-05 13:30:00,2023-03-05 14:15:00,1.0,5.3,5.324999999999999,13
2023-03-06 01:30:00,2023-03-06 02:15:00,1.0,4.4,4.675,1
2023-03-06 14:00:00,2023-03-06 15:15:00,1.5,5.0,5.316666666666666,14
2023-03-07 02:00:00,2023-03-07 03:00:00,1.25,5.1,5.24,2
2023-12-19 05:45:00,2023-12-19 07:15:00,1.75,7.7,8.085714285714285,5
2023-12-19 19:30:00,2023-12-19 20:15:00,1.0,8.2,8.3,19
2023-12-20 08:15:00,2023-12-20 09:00:00,1.0,8.5,8.575000000000001,8
2023-12-28 01:15:00,2023-12-29 11:15:00,34.25,7.8,8.246715328467152,1
2023-12-29 15:15:00,2023-12-29 17:45:00,2.75,8.4,8.499999999999998,15
2023-12-30 01:00:00,2023-12-30 11:45:00,11.0,8.1,8.349999999999998,1
2024-02-16 12:30:00,2024-02-16 15:00:00,2.75,7.8,7.8,12
2024-02-18 01:00:00,2024-02-18 01:45:00,1.0,7.6,7.6499999999999995,1
2024-04-13 04:45:00,2024-04-13 05:30:00,1.0,5.3,5.525,4
2024-05-09 17:00:00,2024-05-09 18:15:00,1.5,5.8,5.916666666666667,17
2024-06-08 06:30:00,2024-06-08 07:30:00,1.25,5.2,5.28,6
2024-06-08 23:45:00,2024-06-09 00:45:00,1.25,5.5,5.54,23
2024-07-10 13:00:00,2024-07-10 13:45:00,1.0,5.2,5.275,13
